member_casual,month,avg_ride_length_min,ride_count
casual,2022-06,32.10152389288443,369022
casual,2022-07,29.281225190654816,406013
casual,2022-08,29.313182133973836,358886
casual,2022-09,27.98829096216595,296664
casual,2022-10,26.39096274743453,208961
casual,2022-11,21.301507646595596,100742
casual,2022-12,22.291053886079613,44891
casual,2023-01,22.916558346873305,40005
casual,2023-02,23.193594721098556,43014
casual,2023-03,21.41468550020902,62194
casual,2023-04,27.675763285778633,147269
casual,2023-05,28.52324292236273,234153
member,2022-06,14.000388262403902,400116
member,2022-07,13.719399597032123,417403
member,2022-08,13.385419316156444,426969
member,2022-09,12.976986165039145,404603
member,2022-10,11.95991999824591,349659
member,2022-11,11.132513769599257,236935
member,2022-12,10.620341098068433,136901
member,2023-01,10.362108972994074,150288
member,2023-02,10.714801273441775,147422
member,2023-03,10.44285903341562,196465
member,2023-04,11.694612373262677,279285
member,2023-05,13.041484868354187,370603
