member_casual,hour,ride_count
casual,0,44995
casual,1,29474
casual,2,18061
casual,3,10482
casual,4,7357
casual,5,12678
casual,6,31403
casual,7,54298
casual,8,72823
casual,9,73846
casual,10,92920
casual,11,119929
casual,12,142352
casual,13,148824
casual,14,158428
casual,15,177766
casual,16,200150
casual,17,222024
casual,18,196145
casual,19,149252
casual,20,109793
casual,21,93799
casual,22,83239
casual,23,61776
member,0,36797
member,1,22525
member,2,13215
member,3,8120
member,4,8951
member,5,32639
member,6,98508
member,7,182400
member,8,221811
member,9,153623
member,10,142151
member,11,168229
member,12,193392
member,13,192506
member,14,193642
member,15,235341
member,16,312956
member,17,372080
member,18,297735
member,19,214717
member,20,150486
member,21,117681
member,22,89204
member,23,57940
